,MN_EARN_WNE_P6
704,27400.0
705,25600.0
706,30700.0
707,24800.0
708,31600.0
709,36100.0
710,27100.0
711,36500.0
712,27500.0
713,30100.0
714,40400.0
715,34600.0
716,22800.0
717,37500.0
718,21400.0
719,40200.0
720,56100.0
721,33500.0
722,24300.0
723,32700.0
724,26200.0
725,36600.0
726,22800.0
727,59900.0
728,34700.0
729,38700.0
730,28000.0
731,25900.0
732,22400.0
733,33200.0
734,27800.0
735,33900.0
736,29300.0
737,31800.0
738,31700.0
739,39000.0
740,21600.0
741,41800.0
742,30700.0
743,36500.0
744,29400.0
745,28000.0
746,30600.0
747,38300.0
748,26600.0
749,30600.0
750,26900.0
751,35600.0
752,31100.0
753,34900.0
754,35500.0
755,31700.0
756,33700.0
757,32035.23115463448
758,16500.0
759,29300.0
760,35000.0
761,11800.0
762,35600.0
763,28800.0
764,27700.0
765,28800.0
766,41100.0
767,39200.0
768,25400.0
769,27000.0
770,29600.0
771,48800.0
772,48800.0
773,45900.0
774,21500.0
775,20100.0
776,32035.23115463448
777,15600.0
778,21800.0
779,26800.0
780,32035.23115463448
781,32200.0
782,72100.0
783,23100.0
784,24500.0
785,23200.0
786,26300.0
787,27200.0
788,24400.0
789,28000.0
790,29500.0
791,38700.0
792,30700.0
793,27400.0
794,16300.0
795,46000.0
796,21500.0
797,33000.0
798,22500.0
799,35500.0
800,32300.0
801,42700.0
802,33200.0
803,24300.0
804,29400.0
805,32035.23115463448
806,40300.0
807,32035.23115463448
808,33200.0
809,22800.0
810,18900.0
811,18100.0
812,25800.0
813,26800.0
814,43100.0
815,43700.0
816,52300.0
817,43300.0
818,28200.0
819,34300.0
820,27100.0
821,60400.0
822,41600.0
823,28600.0
824,25000.0
825,28300.0
826,30100.0
827,38000.0
828,27700.0
829,26400.0
830,28700.0
831,31200.0
832,20600.0
833,29500.0
834,41100.0
835,28400.0
836,57400.0
837,28200.0
838,43800.0
839,28100.0
840,24900.0
841,27100.0
842,31900.0
843,45200.0
844,42600.0
845,18800.0
846,25500.0
847,31300.0
848,39200.0
849,51000.0
850,34900.0
851,34500.0
852,29900.0
853,29600.0
854,38800.0
855,27900.0
856,44200.0
857,38700.0
858,20200.0
859,39300.0
860,40300.0
861,39400.0
862,71900.0
863,35200.0
864,31500.0
865,17200.0
866,39300.0
867,28600.0
868,27500.0
869,32035.23115463448
870,34200.0
871,25900.0
872,28200.0
873,28500.0
874,38300.0
875,39700.0
876,39000.0
877,67000.0
878,52600.0
879,47100.0
880,32035.23115463448
881,41400.0
882,38500.0
883,28000.0
884,23900.0
885,25400.0
886,26100.0
887,25000.0
888,27900.0
889,54700.0
890,16400.0
891,36700.0
892,39600.0
893,18500.0
894,24300.0
895,39600.0
896,35400.0
897,29500.0
898,21000.0
899,32035.23115463448
900,31800.0
901,64000.0
902,37000.0
903,39600.0
904,34400.0
905,29900.0
906,33300.0
907,35300.0
908,36000.0
909,55000.0
910,40000.0
911,31100.0
912,18500.0
913,43900.0
914,20800.0
915,28000.0
916,40700.0
917,36000.0
918,35900.0
919,32500.0
920,34600.0
921,16100.0
922,33100.0
923,20500.0
924,32600.0
925,28900.0
926,33100.0
927,39900.0
928,38300.0
929,38300.0
930,32900.0
931,34400.0
932,34300.0
933,31600.0
934,44200.0
935,33500.0
936,32800.0
937,32400.0
938,25600.0
939,32035.23115463448
940,21600.0
941,30900.0
942,33800.0
943,41400.0
944,47700.0
945,21300.0
946,31600.0
947,15600.0
948,69700.0
949,30700.0
950,32035.23115463448
951,20200.0
952,17300.0
953,70800.0
954,36200.0
955,28300.0
956,44500.0
957,49700.0
958,31600.0
959,40000.0
960,42200.0
961,32035.23115463448
962,30000.0
963,42100.0
964,53000.0
965,37000.0
