,MN_EARN_WNE_P6
4705,25800.0
1408,27300.0
4528,69800.0
3900,27200.0
4157,29500.0
3679,32300.0
3807,14900.0
1332,75200.0
1647,63400.0
2336,32035.23115463448
3924,18500.0
688,35100.0
822,41600.0
2909,29600.0
3234,33400.0
2408,39400.0
1677,35700.0
1149,32900.0
4490,32035.23115463448
3466,30100.0
2908,38600.0
2114,28500.0
3766,32500.0
2912,37000.0
3607,26000.0
3434,35500.0
3631,28700.0
4241,19100.0
917,36000.0
2617,51100.0
4556,32035.23115463448
3152,41000.0
559,36000.0
4890,32035.23115463448
707,24800.0
2722,22700.0
583,34200.0
1208,27600.0
2363,34500.0
422,30200.0
2747,37100.0
875,39700.0
4492,30100.0
2723,20200.0
4613,22200.0
1566,26400.0
3514,33000.0
227,46900.0
826,30100.0
4580,32035.23115463448
4707,32035.23115463448
4304,32035.23115463448
1636,104500.0
3150,40200.0
3172,37200.0
2424,42200.0
1190,48400.0
4840,32035.23115463448
3840,23400.0
1569,25300.0
2963,39500.0
2134,25100.0
3362,24900.0
1808,42600.0
825,28300.0
499,40300.0
4314,16200.0
3376,20000.0
816,52300.0
1316,91300.0
4017,33000.0
509,29500.0
146,21000.0
4189,28600.0
4685,32035.23115463448
4115,32035.23115463448
1536,33500.0
4804,34200.0
1196,47200.0
2402,15600.0
470,29000.0
3391,22400.0
3891,18000.0
1789,18600.0
4616,32035.23115463448
204,52000.0
2005,36400.0
4650,32035.23115463448
3892,25800.0
1754,32035.23115463448
1215,29900.0
2838,28400.0
4434,32035.23115463448
4852,32035.23115463448
1451,43100.0
2215,35500.0
2517,49200.0
1903,36700.0
979,28800.0
549,29900.0
4786,32035.23115463448
3728,24700.0
2266,40500.0
3123,50200.0
1425,40700.0
3997,20800.0
576,23700.0
1452,29900.0
3202,39300.0
445,29900.0
2883,39400.0
4374,26900.0
627,36000.0
347,25800.0
341,27400.0
3927,16400.0
4832,32035.23115463448
777,15600.0
2815,26100.0
4758,37600.0
303,30600.0
926,33100.0
3127,25700.0
675,26100.0
4180,18500.0
2308,30700.0
584,23500.0
2012,51300.0
3119,30300.0
4606,17200.0
4076,34200.0
241,26800.0
1862,19000.0
1479,39200.0
4883,32035.23115463448
3023,47900.0
3751,32035.23115463448
4462,16800.0
170,19600.0
2394,33500.0
896,35400.0
2416,30200.0
1376,32035.23115463448
3301,18200.0
2850,23400.0
2982,30700.0
3256,30100.0
477,28400.0
3625,21400.0
337,22700.0
1895,33900.0
320,40200.0
2129,23400.0
4143,32035.23115463448
635,27700.0
620,29800.0
2634,37100.0
4637,32035.23115463448
1658,34300.0
2102,25200.0
2567,35600.0
3749,28200.0
3263,34500.0
4824,19500.0
2889,30700.0
4822,32035.23115463448
4876,32035.23115463448
2947,68100.0
681,29800.0
2312,41500.0
1709,29000.0
2298,39300.0
3703,41300.0
1261,25200.0
3473,32600.0
3048,23300.0
1950,54000.0
4397,23300.0
3286,20100.0
3938,32035.23115463448
735,33900.0
536,32800.0
2677,36400.0
3752,31600.0
1349,29100.0
866,39300.0
1127,27600.0
4880,32035.23115463448
122,22300.0
4856,32035.23115463448
4621,40700.0
1767,31300.0
3031,17200.0
4781,21400.0
1607,44100.0
2095,24900.0
3026,32035.23115463448
2711,24900.0
2421,23000.0
1797,48200.0
2775,31500.0
1506,21400.0
4168,27000.0
2773,26000.0
3483,29600.0
1193,46000.0
1220,28300.0
1194,22500.0
2364,34500.0
78,36000.0
1698,39900.0
2918,34000.0
3686,40400.0
2190,35700.0
370,28200.0
485,40800.0
4020,32035.23115463448
520,27000.0
571,53500.0
2281,31700.0
1943,42300.0
947,15600.0
3590,29200.0
4593,20200.0
1489,28800.0
2703,27800.0
2964,53600.0
1096,28100.0
2124,26700.0
2625,32035.23115463448
3781,26300.0
510,26900.0
3871,27100.0
3601,23600.0
1359,40700.0
1107,14300.0
533,40800.0
2426,27400.0
2597,13900.0
2168,25300.0
4142,32800.0
4499,16700.0
3093,26900.0
4797,32035.23115463448
3283,22200.0
1730,31000.0
4762,37300.0
1002,22900.0
4588,69800.0
3765,22100.0
4624,32035.23115463448
3758,15500.0
883,28000.0
1688,39400.0
1347,30400.0
4051,30100.0
1708,32900.0
2800,30000.0
3444,28100.0
670,27100.0
1266,41900.0
3085,27300.0
1551,27800.0
2325,35900.0
4498,38400.0
4757,37600.0
4024,21200.0
4540,32035.23115463448
2750,16800.0
3113,38400.0
1365,56600.0
2225,29000.0
4245,21800.0
3480,21500.0
363,17200.0
4486,32035.23115463448
2359,27300.0
2333,16100.0
4228,29900.0
614,28100.0
1760,36200.0
91,28500.0
1644,34300.0
4846,32035.23115463448
1964,28400.0
4521,19400.0
3975,45300.0
3485,24400.0
2764,37200.0
3108,23800.0
1661,29300.0
2401,30700.0
4479,32035.23115463448
3716,24700.0
2946,23900.0
258,37300.0
1496,36600.0
1602,37900.0
4239,57000.0
3206,17100.0
4065,17200.0
2323,35900.0
4160,37200.0
970,39700.0
4178,24300.0
1305,38700.0
3297,19100.0
2284,20200.0
2500,54400.0
1782,42600.0
1363,43700.0
1468,34800.0
1945,42200.0
4568,32035.23115463448
2665,45900.0
270,72900.0
4946,34300.0
4552,32035.23115463448
1696,33100.0
4816,28200.0
3901,21400.0
1911,44200.0
3313,19300.0
1819,29200.0
406,25700.0
1805,34300.0
4600,37500.0
4614,19600.0
4973,35100.0
4454,38400.0
4651,32035.23115463448
3269,33600.0
1544,32400.0
463,36100.0
1223,19200.0
4351,32035.23115463448
3949,22000.0
1091,26800.0
691,32500.0
1241,37500.0
103,21000.0
3710,25100.0
1631,44100.0
3791,24900.0
683,26800.0
3948,18900.0
3264,35800.0
4090,18100.0
3021,29100.0
3782,40100.0
4216,32035.23115463448
2080,38700.0
199,37400.0
2796,35100.0
4418,32035.23115463448
2121,30400.0
3678,41200.0
1813,19300.0
2350,36600.0
39,25300.0
68,25600.0
2410,35100.0
2182,33400.0
2910,36200.0
679,29800.0
4147,19700.0
4062,20600.0
3904,23600.0
2528,24800.0
365,48700.0
733,33200.0
3183,30100.0
2341,28600.0
2071,23900.0
954,36200.0
287,32800.0
4924,32035.23115463448
2549,29300.0
2167,24500.0
3176,32600.0
2425,14100.0
1581,36300.0
2028,45200.0
2062,32200.0
3143,23100.0
2609,36700.0
3196,29500.0
2556,44100.0
2311,59600.0
4671,32035.23115463448
2652,40100.0
2066,22100.0
4088,32035.23115463448
793,27400.0
2858,34100.0
4258,32035.23115463448
1732,34400.0
3384,32035.23115463448
1097,30800.0
1597,32035.23115463448
1293,31900.0
3935,15600.0
4564,32035.23115463448
3512,27900.0
2784,44100.0
2056,39400.0
2130,25700.0
4884,32035.23115463448
828,27700.0
4690,23600.0
4772,32035.23115463448
3922,33200.0
4882,32035.23115463448
3804,23100.0
1595,18900.0
3076,23700.0
4278,22600.0
764,27700.0
4104,15900.0
2591,28600.0
2525,44100.0
1592,31600.0
3338,20000.0
1421,29100.0
654,35500.0
2692,41400.0
283,33600.0
2952,36700.0
4969,35100.0
2259,33600.0
2026,44000.0
4896,32035.23115463448
3277,17100.0
4640,30600.0
1445,27000.0
981,41400.0
4994,29500.0
1153,27600.0
2754,37100.0
674,24700.0
468,35300.0
3584,23600.0
2896,32700.0
429,29100.0
4725,18500.0
1555,21900.0
1129,26200.0
1210,27600.0
916,40700.0
166,27900.0
3104,56800.0
4669,32035.23115463448
4968,16800.0
2966,52200.0
2494,33200.0
1000,38200.0
1178,25000.0
56,37500.0
208,38400.0
2111,24000.0
3273,44200.0
1307,45100.0
1440,45700.0
425,46100.0
697,53900.0
3624,28400.0
1265,31600.0
2860,25600.0
3225,32400.0
1593,23800.0
2301,34400.0
492,31900.0
961,32035.23115463448
1860,18200.0
3500,18600.0
4457,30400.0
978,28900.0
3163,33400.0
819,34300.0
1826,32600.0
3296,19000.0
4695,26600.0
1467,36000.0
4231,16800.0
621,28000.0
3345,19100.0
4379,23300.0
1778,30900.0
3821,18700.0
336,39200.0
3027,41400.0
1083,31800.0
2607,40400.0
390,23900.0
737,31800.0
113,31600.0
1068,41900.0
937,32400.0
2299,36100.0
1873,32035.23115463448
4656,32035.23115463448
1015,24800.0
257,30400.0
3057,30000.0
1339,36800.0
1152,32035.23115463448
2264,19900.0
992,32700.0
3479,37300.0
2558,36400.0
1009,39600.0
3695,23700.0
2831,40900.0
526,21400.0
4590,29100.0
132,45300.0
2462,32035.23115463448
35,25600.0
441,43900.0
64,32035.23115463448
2029,36200.0
1668,33900.0
4384,19400.0
1282,67000.0
2175,21400.0
638,28800.0
2937,42400.0
1224,24900.0
3191,18400.0
4652,32035.23115463448
1218,27800.0
1598,56600.0
2725,43100.0
3794,47200.0
3748,34000.0
767,39200.0
2572,33700.0
4198,26200.0
1294,36400.0
3134,33100.0
3165,42400.0
1108,23300.0
1659,30100.0
1744,26600.0
1278,32035.23115463448
4295,18300.0
4247,25700.0
129,35100.0
2700,27600.0
2255,47300.0
3915,33400.0
3138,35600.0
4213,22800.0
3287,30200.0
452,32600.0
1234,28100.0
4507,32035.23115463448
1719,21800.0
4773,42200.0
2981,76700.0
459,33300.0
3994,30300.0
680,41300.0
2009,46000.0
2466,29100.0
1747,26800.0
2951,41500.0
1954,39300.0
361,51200.0
1804,39600.0
3635,30900.0
3039,25800.0
202,45300.0
934,44200.0
3459,14900.0
4784,32035.23115463448
4016,60900.0
124,16300.0
4514,32035.23115463448
4746,37600.0
1965,55400.0
2515,18500.0
4117,29000.0
446,31400.0
3993,20000.0
4029,24800.0
3925,32035.23115463448
3983,48400.0
4474,32035.23115463448
1757,33900.0
1588,32800.0
935,33500.0
1450,31000.0
4165,33600.0
3253,37200.0
1353,29500.0
4134,34500.0
1188,37200.0
217,23400.0
1415,28100.0
4238,26600.0
2863,35300.0
4375,26600.0
877,67000.0
3227,32400.0
2022,29800.0
66,21400.0
3488,32000.0
1481,34300.0
4471,32500.0
736,29300.0
1846,94500.0
272,29000.0
1490,36400.0
4337,32035.23115463448
3491,33600.0
4140,24600.0
4099,26300.0
1944,42300.0
660,31000.0
1446,21800.0
2801,30900.0
3823,32035.23115463448
288,45800.0
1776,32035.23115463448
1357,37400.0
3698,25300.0
3106,19200.0
3406,26800.0
3897,18900.0
3005,25600.0
226,28200.0
760,35000.0
514,25200.0
3867,19600.0
1605,29200.0
4877,32035.23115463448
4881,32035.23115463448
3431,18400.0
4031,21400.0
800,32300.0
768,25400.0
193,38300.0
3495,32300.0
742,30700.0
2907,34400.0
1454,28700.0
612,24500.0
3265,26800.0
1870,70700.0
3649,19900.0
401,35400.0
4508,29900.0
849,51000.0
3788,23900.0
1728,35100.0
374,97200.0
537,25400.0
3942,24700.0
3025,42400.0
1007,34000.0
4926,32035.23115463448
4817,19200.0
3379,35400.0
578,20100.0
692,26200.0
1611,25700.0
2734,40300.0
4894,32035.23115463448
